timestamp,x,y,z
2024-06-12T08:47:54.661076,0.15,0.05,0
2024-06-12T08:47:54.883239,0.15,0.05,0
2024-06-12T08:47:54.934736,0.15,0.05,0
2024-06-12T08:47:54.988410,0.15,0.05,0
2024-06-12T08:47:55.062063,0.15,0.05,0
2024-06-12T08:47:55.161466,0.15,0.05,0
2024-06-12T08:47:55.261098,0.15,0.05,0
2024-06-12T08:47:55.361345,0.15,0.05,0
2024-06-12T08:47:55.465028,0.15,0.05,0
2024-06-12T08:47:55.561453,0.15,0.05,0
2024-06-12T08:47:55.661699,0.15,0.05,0
2024-06-12T08:47:55.762963,0.15,0.05,0
2024-06-12T08:47:55.861613,0.15,0.05,0
2024-06-12T08:47:55.961116,0.15,0.05,0
2024-06-12T08:47:56.061106,0.15,0.05,0
2024-06-12T08:47:56.160923,0.15,0.05,0
2024-06-12T08:47:56.261884,0.15,0.05,0
2024-06-12T08:47:56.361060,0.15,0.05,0
2024-06-12T08:47:56.461010,0.15,0.05,0
2024-06-12T08:47:56.562264,0.15,0.05,0
2024-06-12T08:47:56.660999,0.15,0.05,0
2024-06-12T08:47:56.761183,0.15,0.05,0
2024-06-12T08:47:56.861031,0.15,0.05,0
2024-06-12T08:47:56.961297,0.15,0.05,0
2024-06-12T08:47:57.060994,0.15,0.05,0
2024-06-12T08:47:57.161411,0.15,0.05,0
2024-06-12T08:47:57.261166,0.15,0.05,0
2024-06-12T08:47:57.361232,0.15,0.05,0
2024-06-12T08:47:57.461635,0.15,0.05,0
2024-06-12T08:47:57.561182,0.15,0.05,0
2024-06-12T08:47:57.661028,0.15,0.05,0
2024-06-12T08:47:57.761251,0.15,0.05,0
2024-06-12T08:47:57.861154,0.15,0.05,0
2024-06-12T08:47:57.967861,0.15,0.05,0
2024-06-12T08:47:58.062452,0.15,0.05,0
2024-06-12T08:47:58.161307,0.15,0.05,0
2024-06-12T08:47:58.263109,0.15,0.05,0
2024-06-12T08:47:58.364698,0.15,0.05,0
2024-06-12T08:47:58.464047,0.15,0.05,0
2024-06-12T08:47:58.562508,0.15,0.05,0
2024-06-12T08:47:58.660993,0.15,0.05,0
2024-06-12T08:47:58.761346,0.15,0.05,0
2024-06-12T08:47:58.861009,0.15,0.05,0
2024-06-12T08:47:58.961087,0.15,0.05,0
2024-06-12T08:47:59.061468,0.15,0.05,0
2024-06-12T08:47:59.161648,0.15,0.05,0
2024-06-12T08:47:59.262345,0.15,0.05,0
2024-06-12T08:47:59.361295,0.15,0.05,0
2024-06-12T08:47:59.466538,0.15,0.05,0
2024-06-12T08:47:59.561459,0.15,0.05,0
2024-06-12T08:47:59.753923,0.15,0.05,0
2024-06-12T08:47:59.806011,0.15,0.05,0
2024-06-12T08:47:59.862509,0.15,0.05,0
2024-06-12T08:47:59.962155,0.15,0.05,0
2024-06-12T08:48:00.061917,0.15,0.05,0
2024-06-12T08:48:00.163802,0.15,0.05,0
2024-06-12T08:48:00.281697,0.15,0.05,0
2024-06-12T08:48:00.361323,0.15,0.05,0
2024-06-12T08:48:00.461438,0.15,0.05,0
2024-06-12T08:48:00.564369,0.15,0.05,0
2024-06-12T08:48:00.661667,0.15,0.05,0
2024-06-12T08:48:00.761638,0.15,0.05,0
2024-06-12T08:48:00.860954,0.15,0.05,0
2024-06-12T08:48:00.961195,0.15,0.05,0
2024-06-12T08:48:01.061280,0.15,0.05,0
2024-06-12T08:48:01.161422,0.15,0.05,0
2024-06-12T08:48:01.261247,0.15,0.05,0
2024-06-12T08:48:01.361611,0.15,0.05,0
2024-06-12T08:48:01.461174,0.15,0.05,0
2024-06-12T08:48:01.561327,0.15,0.05,0
2024-06-12T08:48:01.661958,0.15,0.05,0
2024-06-12T08:48:01.761686,0.15,0.05,0
2024-06-12T08:48:01.861180,0.15,0.05,0
2024-06-12T08:48:01.961208,0.15,0.05,0
2024-06-12T08:48:02.061253,0.15,0.05,0
2024-06-12T08:48:02.160973,0.15,0.05,0
2024-06-12T08:48:02.261039,0.15,0.03,0
2024-06-12T08:48:02.361280,0.15,0.05,0
2024-06-12T08:48:02.461476,0.15,0.05,0
2024-06-12T08:48:02.561459,0.15,0.05,0
2024-06-12T08:48:02.661615,0.15,0.05,0
2024-06-12T08:48:02.761799,0.15,0.05,0
2024-06-12T08:48:02.861434,0.15,0.05,0
2024-06-12T08:48:02.961240,0.15,0.05,0
2024-06-12T08:48:03.061311,0.15,0.05,0
2024-06-12T08:48:03.163963,0.15,0.05,0
2024-06-12T08:48:03.263019,0.15,0.05,0
2024-06-12T08:48:03.361245,0.15,0.05,0
2024-06-12T08:48:03.461264,0.15,0.05,0
2024-06-12T08:48:03.561280,0.15,0.05,0
2024-06-12T08:48:03.661193,0.15,0.05,0
2024-06-12T08:48:03.762995,0.15,0.05,0
2024-06-12T08:48:03.861555,0.15,0.05,0
2024-06-12T08:48:03.961652,0.15,0.05,0
2024-06-12T08:48:04.061907,0.15,0.05,0
2024-06-12T08:48:04.161957,0.15,0.05,0
2024-06-12T08:48:04.261281,0.15,0.05,0
2024-06-12T08:48:04.362180,0.15,0.05,0
2024-06-12T08:48:04.462015,0.15,0.05,0
2024-06-12T08:48:04.561922,0.15,0.05,0
2024-06-12T08:48:04.661880,0.15,0.05,0
2024-06-12T08:48:04.763443,0.15,0.05,0
2024-06-12T08:48:04.861562,0.15,0.05,0
2024-06-12T08:48:04.961095,0.15,0.05,0
2024-06-12T08:48:05.061614,0.15,0.05,0
2024-06-12T08:48:05.161214,0.15,0.05,0
2024-06-12T08:48:05.261171,0.15,0.05,0
2024-06-12T08:48:05.361529,0.15,0.05,0
2024-06-12T08:48:05.461371,0.15,0.05,0
2024-06-12T08:48:05.562963,0.15,0.05,0
2024-06-12T08:48:05.661407,0.15,0.05,0
2024-06-12T08:48:05.761229,0.15,0.05,0
2024-06-12T08:48:05.861339,0.15,0.05,0
2024-06-12T08:48:05.961470,0.15,0.05,0
2024-06-12T08:48:06.061697,0.15,0.05,0
2024-06-12T08:48:06.161705,0.15,0.05,0
2024-06-12T08:48:06.261258,0.15,0.05,0
2024-06-12T08:48:06.361256,0.15,0.05,0
2024-06-12T08:48:06.461750,0.15,0.05,0
2024-06-12T08:48:06.561650,0.15,0.05,0
2024-06-12T08:48:06.661498,0.15,0.05,0
2024-06-12T08:48:06.761081,0.15,0.05,0
2024-06-12T08:48:06.861322,0.15,0.05,0
2024-06-12T08:48:06.961080,0.15,0.05,0
2024-06-12T08:48:07.061404,0.15,0.05,0
2024-06-12T08:48:07.161253,0.15,0.05,0
2024-06-12T08:48:07.261392,0.15,0.05,0
2024-06-12T08:48:07.361334,0.15,0.05,0
2024-06-12T08:48:07.461415,0.15,0.05,0
2024-06-12T08:48:07.561472,0.15,0.05,0
2024-06-12T08:48:07.661806,0.15,0.05,0
2024-06-12T08:48:07.761469,0.15,0.05,0
2024-06-12T08:48:07.861346,0.15,0.05,0
2024-06-12T08:48:07.961914,0.15,0.05,0
2024-06-12T08:48:08.064522,0.15,0.05,0
2024-06-12T08:48:08.166033,0.15,0.05,0
2024-06-12T08:48:08.261175,0.15,0.05,0
2024-06-12T08:48:08.361352,0.15,0.05,0
2024-06-12T08:48:08.461565,0.15,0.05,0
2024-06-12T08:48:08.561389,0.15,0.05,0
2024-06-12T08:48:08.662037,0.15,0.05,0
2024-06-12T08:48:08.762052,0.15,0.05,0
2024-06-12T08:48:08.862008,0.15,0.05,0
2024-06-12T08:48:08.961988,0.15,0.05,0
2024-06-12T08:48:09.062105,0.15,0.05,0
2024-06-12T08:48:09.161258,0.15,0.05,0
2024-06-12T08:48:09.261932,0.15,0.05,0
2024-06-12T08:48:09.361243,0.15,0.05,0
2024-06-12T08:48:09.461704,0.15,0.05,0
2024-06-12T08:48:09.561117,0.15,0.05,0
2024-06-12T08:48:09.661333,0.15,0.05,0
2024-06-12T08:48:09.761538,0.15,0.05,0
2024-06-12T08:48:09.861955,0.15,0.05,0
2024-06-12T08:48:09.961585,0.15,0.05,0
2024-06-12T08:48:10.061329,0.15,0.05,0
2024-06-12T08:48:10.161227,0.15,0.05,0
2024-06-12T08:48:10.261368,0.15,0.05,0
2024-06-12T08:48:10.361286,0.15,0.05,0
2024-06-12T08:48:10.461219,0.15,0.05,0
2024-06-12T08:48:10.562896,0.15,0.05,0
2024-06-12T08:48:10.661315,0.15,0.05,0
2024-06-12T08:48:10.761356,0.15,0.05,0
2024-06-12T08:48:10.922010,0.15,0.05,0
2024-06-12T08:48:10.982325,0.15,0.05,0
2024-06-12T08:48:11.089678,0.15,0.05,0
2024-06-12T08:48:11.161255,0.15,0.05,0
2024-06-12T08:48:11.261588,0.15,0.05,0
2024-06-12T08:48:11.361567,0.15,0.05,0
2024-06-12T08:48:11.462148,0.15,0.05,0
2024-06-12T08:48:11.562094,0.15,0.05,0
2024-06-12T08:48:11.661413,0.15,0.05,0
2024-06-12T08:48:11.761381,0.15,0.05,0
2024-06-12T08:48:11.861346,0.15,0.05,0
